Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Ticker,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2005,Dec 2006,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
Raw PDF,,,,,,,,,,,,,,BERGEPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2851,3076,3353,3629,3877,3774,3866,4164,4106,3689,3476,3853,3909,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2426,2645,2914,3191,3282,3153,3169,3521,3365,3042,2853,3174,3239,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,425,432,439,438,595,621,698,643,741,647,623,679,670,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,15%,14%,13%,12%,15%,16%,18%,15%,18%,18%,18%,18%,17%,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,30,44,37,17,67,51,58,45,-99,62,38,57,50,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,40,53,109,97,114,124,137,116,124,110,96,88,82,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,181,188,186,181,206,211,224,207,218,213,218,224,226,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,235,235,181,177,341,337,395,366,300,385,347,424,411,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,32%,40%,56%,28%,37%,36%,36%,38%,42%,37%,39%,33%,31%,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,160,142,79,128,214,215,254,227,175,243,213,283,284,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.53,3.13,1.77,2.91,4.80,4.88,5.68,5.07,4.36,5.23,4.45,5.90,5.93,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BHARATFORG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,4672,5203,5263,8227,5003,5125,5504,8260,5485,6584,7277,8993,5487,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,4842,5446,5119,7178,5182,5279,5287,7532,5654,6309,6973,8162,6024,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,-170,-244,144,1049,-178,-154,217,728,-169,275,304,832,-537,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,-4%,-5%,3%,13%,-4%,-3%,4%,9%,-3%,4%,4%,9%,-10%,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,84,226,110,125,130,192,118,170,111,128,126,159,185,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,98,123,139,161,168,180,190,193,162,201,184,201,181,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,67,59,62,73,60,60,61,68,59,60,68,85,75,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,-251,-199,53,940,-276,-202,84,636,-279,141,179,704,-608,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,-25%,-106%,20%,30%,-26%,-69%,29%,23%,-24%,25%,25%,28%,-25%,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,-188,12,42,658,-205,-63,60,490,-211,106,135,504,-456,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,-0.54,0.03,0.12,1.89,-0.59,-0.18,0.17,1.41,-0.61,0.30,0.39,1.45,-1.31,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BHEL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,419,577,508,462,482,609,624,614,572,721,715,611,653,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,388,513,453,400,416,521,549,453,480,614,659,537,556,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,31,64,55,62,66,88,75,161,92,107,55,74,96,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,7%,11%,11%,13%,14%,14%,12%,26%,16%,15%,8%,12%,15%,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,5,6,12,5,6,6,6,12,7,8,8,10,10,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,3,3,3,3,2,3,3,3,3,3,4,5,5,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,11,11,13,12,13,16,16,15,18,19,21,25,23,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,22,56,52,51,56,75,62,155,78,93,39,55,79,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,28%,27%,23%,26%,26%,20%,26%,25%,26%,26%,28%,27%,26%,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,16,41,40,38,41,60,46,116,58,69,28,40,59,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,0.65,1.66,1.63,1.51,1.67,2.45,1.86,4.64,2.33,2.76,1.14,1.78,2.39,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BIKAJI.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2140,2320,2941,3774,3423,3462,3954,3917,3433,3590,3821,4417,3942,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1783,1877,2352,2817,2741,2745,3051,3004,2812,2905,3070,3339,3193,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,356,442,589,957,681,717,903,913,620,685,752,1078,749,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,17%,19%,20%,25%,20%,21%,23%,23%,18%,19%,20%,24%,19%,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,78,48,-193,152,94,134,587,40,1166,58,53,57,80,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,20,30,120,249,233,248,267,227,236,226,223,212,277,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,218,231,301,364,358,389,414,407,405,420,425,436,455,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,197,229,-26,497,184,214,808,319,1146,98,156,487,97,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,15%,64%,-19%,17%,19%,19%,7%,30%,25%,72%,48%,6%,8%,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,167,82,-21,414,149,173,753,223,862,27,81,459,89,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.20,0.39,-0.35,2.61,0.84,1.05,5.50,1.13,5.49,-0.13,0.21,2.87,0.23,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BIOCON.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2204,2000,2016,2463,2407,2286,2310,2654,2190,1953,2257,2815,2454,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1944,1906,1872,2188,2109,1997,1932,2182,1932,1775,2009,2281,2107,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,259,94,144,274,298,289,378,472,258,177,248,534,347,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,12%,5%,7%,11%,12%,13%,16%,18%,12%,9%,11%,19%,14%,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,3,42,8,67,16,27,16,33,17,17,15,10,32,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,70,93,87,89,97,95,97,82,86,85,83,73,71,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,115,125,130,140,140,143,145,150,146,145,139,142,131,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,77,-82,-64,113,76,77,153,273,44,-36,41,328,177,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,20%,-32%,-23%,25%,22%,24%,29%,29%,26%,-29%,25%,22%,33%,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,62,-56,-50,85,60,58,109,193,33,-25,31,257,120,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,8.04,-7.33,-6.48,11.03,7.75,7.58,14.17,25.11,4.24,-3.27,4.05,33.32,15.53,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BIRLACORPN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1293,1325,1337,1217,1238,1324,1383,1323,1343,1448,1512,1417,1442,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1026,1082,1109,1017,1047,1102,1170,1097,1141,1230,1272,1204,1246,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,267,243,228,199,191,223,213,226,202,218,239,213,196,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,21%,18%,17%,16%,15%,17%,15%,17%,15%,15%,16%,15%,14%,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,7,8,9,9,10,5,24,11,9,9,12,12,10,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,18,18,16,15,19,20,20,19,21,21,21,20,19,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,97,101,100,96,99,111,111,113,118,121,121,124,121,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,159,131,121,97,82,98,108,105,72,85,109,81,66,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,29%,27%,28%,26%,25%,17%,26%,26%,26%,26%,32%,26%,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,119,94,89,69,61,73,89,78,53,63,81,55,49,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,50.06,39.46,37.37,29.27,25.83,30.79,37.46,32.78,22.51,26.48,34.14,23.24,20.58,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BLUEDART.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1977,1582,1794,2624,2226,1890,2241,3328,2865,2276,2807,4019,2982,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1854,1497,1690,2445,2081,1768,2086,3086,2628,2127,2599,3740,2784,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,123,86,104,179,145,123,155,242,238,149,209,279,199,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,6%,5%,6%,7%,7%,6%,7%,7%,8%,7%,7%,7%,7%,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,11,9,5,179,9,13,13,13,24,19,21,24,16,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,11,12,14,18,18,18,10,12,8,6,16,19,10,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,22,24,16,23,23,23,23,28,28,30,35,35,41,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,101,58,80,317,114,95,134,214,226,131,179,249,163,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,27%,29%,27%,26%,25%,25%,25%,27%,26%,22%,26%,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,74,43,58,225,83,71,100,160,169,96,132,194,121,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.86,2.21,3.03,11.70,4.33,3.44,4.88,7.81,8.21,4.68,6.45,9.42,5.88,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BLUESTARCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3544,3662,3660,4063,4158,4130,4205,4233,4317,4394,4466,4911,4789,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,3095,3230,3256,3541,3690,3639,3627,3676,3797,3834,3883,4264,4149,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,449,431,404,522,468,491,578,557,520,560,583,647,639,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,13%,12%,11%,13%,11%,12%,14%,13%,12%,13%,13%,13%,13%,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,57,150,131,136,187,939,214,226,179,257,142,237,844,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,4,2,2,5,31,12,4,4,3,2,6,6,4,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,65,92,108,121,92,101,117,119,86,90,101,99,85,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,438,487,425,533,532,1317,671,661,611,726,618,778,1394,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,24%,24%,25%,25%,23%,24%,23%,15%,24%,26%,26%,29%,20%,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,334,374,320,398,409,1000,518,564,466,537,459,554,1116,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,113.28,126.67,108.40,134.98,138.78,338.99,175.70,191.23,158.10,181.97,155.53,187.67,378.42,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BOSCHLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,121082,114820,119170,118115,112985,103044,115499,116555,113095,102785,113166,111230,112551,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,126906,113406,114957,107031,97200,90104,109300,107600,107468,98268,105710,103494,102874,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,-5824,1415,4213,11085,15785,12941,6199,8955,5627,4517,7456,7737,9678,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,-5%,1%,4%,9%,14%,13%,5%,8%,5%,4%,7%,7%,9%,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,615,673,415,523,1003,911,919,403,807,1278,548,1061,1840,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,710,937,1128,1148,1071,1190,920,967,889,923,861,919,758,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,1617,1561,1586,1605,1614,1605,1830,1722,1686,1779,1810,1982,1889,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,-7537,-410,1913,8854,14103,11056,4367,6669,3859,3094,5333,5897,8872,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,-18%,-17%,9%,22%,25%,25%,27%,28%,26%,26%,29%,26%,23%,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,-6148,-338,1747,6870,10644,8244,3181,4790,2842,2297,3806,4392,6839,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,-14.17,-0.78,4.03,15.84,24.53,19.00,7.33,11.04,6.55,5.29,8.77,10.12,15.76,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BPCL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,902,879,820,843,654,1367,1174,1702,1078,1072,1464,1460,1281,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,670,663,612,641,479,1042,912,1270,785,780,1050,1044,958,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,233,216,208,202,175,325,262,433,293,292,414,416,323,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,26%,25%,25%,24%,27%,24%,22%,25%,27%,27%,28%,28%,25%,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,32,51,38,47,31,41,34,60,36,66,66,72,52,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,106,110,118,100,108,110,135,138,152,123,114,107,106,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,75,78,78,83,68,76,82,76,68,69,76,76,76,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,83,80,50,65,30,180,79,279,108,166,289,306,194,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,22%,35%,14%,3%,27%,38%,30%,24%,26%,31%,18%,18%,18%,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,65,52,43,63,22,112,56,211,81,115,236,249,158,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.81,3.36,2.47,3.00,1.67,5.78,3.18,8.92,3.62,4.87,9.67,10.10,6.13,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BRIGADE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3701,4380,4197,4023,4011,4433,4256,4069,4250,4668,4593,4432,4622,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,3200,3668,3379,3222,3322,3562,3437,3286,3497,3888,3750,3632,3870,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,501,712,818,801,689,871,820,784,753,780,843,801,752,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,14%,16%,19%,20%,17%,20%,19%,19%,18%,17%,18%,18%,16%,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,56,53,428,60,57,52,48,57,31,46,62,63,57,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,42,54,38,35,53,53,31,26,29,35,45,31,26,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,51,52,58,65,71,72,78,80,74,76,82,81,82,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,463,659,1149,761,622,799,758,735,681,715,778,752,701,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,28%,26%,19%,27%,27%,27%,27%,27%,26%,26%,25%,26%,26%,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,336,491,932,558,455,586,556,537,505,532,582,559,520,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,14.01,20.48,38.71,23.19,19.00,24.39,23.10,22.35,20.99,22.06,24.15,23.25,21.62,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BRITANNIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1154,1192,1222,1226,1263,1310,1343,1363,1327,1368,1363,1317,1285,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,985,1016,1215,1059,1070,1103,1129,1141,1132,1203,1199,1143,1126,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,170,176,7,167,193,207,214,222,195,165,163,174,159,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,15%,15%,1%,14%,15%,16%,16%,16%,15%,12%,12%,13%,12%,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,15,-3,12,-2,14,16,28,46,35,33,21,20,33,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,3,6,6,4,4,6,6,4,4,7,7,6,5,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,20,21,21,21,21,22,21,21,21,22,21,22,21,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,162,147,-7,140,182,196,215,242,205,170,156,166,166,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,22%,139%,20%,24%,26%,25%,26%,27%,25%,25%,27%,36%,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,121,115,-16,112,138,145,161,180,150,128,117,122,106,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,4.31,4.23,-0.60,4.08,5.00,5.27,5.84,6.53,5.44,4.61,4.23,4.39,3.83,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,BSOFT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue +,18537,20482,22561,24304,25451,27290,28492,29286,29173,30182,30751,31496,31523,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,11396,12681,13622,15292,16337,17934,18620,19226,19534,20427,21163,21556,21992,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,9382,11326,10831,12253,10990,10859,12001,13198,12010,12066,10752,12124,13141,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,-2241,-3525,-1891,-3241,-1876,-1504,-2129,-3138,-2371,-2312,-1165,-2185,-3610,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,-12%,-17%,-8%,-13%,-7%,-6%,-7%,-11%,-8%,-8%,-4%,-7%,-11%,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,5202,6876,5777,7470,6809,6602,7138,8098,7793,7824,6679,8761,8086,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,2961,3351,3886,4229,4933,5098,5009,4960,5422,5513,5515,6576,4475,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,30%,23%,25%,24%,28%,28%,25%,24%,27%,26%,25%,22%,33%,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,2193,2730,3058,3364,3755,3829,3827,3991,4098,4227,4256,5111,3233,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,2.40,2.98,3.34,3.68,4.12,4.19,4.18,4.36,4.48,4.62,4.65,5.59,3.52,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,6.99%,6.37%,5.90%,5.35%,5.16%,4.76%,4.39%,4.23%,4.14%,3.73%,3.34%,2.94%,2.69%,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,2.48%,2.19%,1.96%,1.73%,1.57%,1.41%,1.32%,1.27%,1.24%,0.99%,0.89%,0.70%,0.63%,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CANBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1140,1128,1187,1200,1203,1146,1151,1201,1198,1224,1255,1217,1219,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1012,965,1016,1009,1034,979,960,992,1004,1029,1078,1071,1098,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,127,163,171,190,169,168,191,209,194,195,177,146,121,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,11%,14%,14%,16%,14%,15%,17%,17%,16%,16%,14%,12%,10%,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,32,18,30,59,41,31,25,25,19,23,-77,18,27,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,4,5,7,7,5,5,5,4,3,4,4,3,3,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,43,44,47,53,46,46,48,51,51,52,53,56,59,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,112,131,147,190,160,148,163,180,158,162,43,105,86,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,23%,29%,23%,22%,26%,30%,31%,21%,27%,28%,13%,71%,30%,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
